05/20/2007 19:38:08, TP,   26.34
10/11/2010 18:37:13, TC, -222.06
09/09/2013 19:59:03, TV,  100.50
01/01/2006 17:34:17, TV,   56.82
01/10/2008 12:43:43, TV,  -87.38
06/22/2014 12:51:20, TP,  114.91
01/23/2008 18:03:19, TP,  137.85
04/25/2007 15:45:07, TP,  155.64
05/21/2008 19:37:53, TC, -521.64
08/30/2010 18:38:47, TF,  288.61
04/29/2014 17:31:41, TP, -185.61
12/16/2008 10:38:48, TP,  101.30
10/28/2012 09:05:47, TC,  965.17
06/15/2010 19:12:16, TS,  116.50
08/30/2009 08:18:11, TS,  257.58
03/13/2012 10:47:40, TS,  -39.48
06/26/2006 11:13:29, TC,  379.04
10/22/2007 14:04:34, TS,   43.39
10/17/2015 10:39:21, TC, -158.10
06/23/2009 18:19:52, TC,   66.80
08/22/2008 19:02:11, TV, -379.44
10/29/2011 16:10:32, TV,  301.62
09/15/2009 08:46:46, TS,  206.78
11/03/2007 18:25:20, TS,   71.77
09/05/2008 16:11:49, TS, -153.16
05/16/2015 18:31:59, TS,   45.48
06/22/2010 13:15:44, TS,  143.16
09/14/2007 08:04:02, TP,  471.59
06/16/2008 16:29:21, TC,  277.77
08/02/2013 15:49:18, TP, -1279.76
12/16/2015 10:29:19, TP,  159.20
03/16/2012 09:03:31, TF,  103.32
07/12/2014 16:37:34, TV,  -87.92
03/03/2006 11:13:47, TS,   48.02
06/23/2010 18:14:15, TV,  -56.93
04/09/2008 11:30:05, TC,   30.76
09/24/2006 10:12:08, TC, -126.59
04/08/2015 12:09:39, TS,   22.55
07/09/2007 16:54:55, TF,   40.38
10/28/2012 15:46:08, TV,  195.65
04/13/2010 09:21:41, TP,  157.28
09/12/2011 19:55:27, TP, -223.93
05/18/2008 19:24:08, TP,  224.36
05/17/2013 11:10:24, TV,  249.14
02/02/2014 19:20:36, TS, -252.30
09/02/2011 13:33:49, TS,  210.49
01/31/2008 18:11:06, TP,  -41.73
02/04/2009 19:00:38, TC,  -60.34
08/15/2007 13:07:20, TF,  101.69
10/10/2013 13:24:37, TS, -188.66
11/26/2011 11:05:00, TC,  -96.30
12/07/2013 16:13:35, TS,  -88.88
02/06/2010 10:24:57, TS,  311.15
10/08/2009 18:21:36, TF,   55.41
